nome;score;peso;data_nascimento;nome_da_mãe;data_nascimento_da_mãe;telefone;cpf;endereco;email;ocupacao;renda_mensal;status_cadastro;data_cadastro
Thomas Alves;7;97.23;25/02/1970;Luiza Melo;24/05/1933;(071) 1820-3861;708.963.541-48;Largo Evelyn Ramos, 246, Pereira da Serra - MS;beatrizsales@uol.com.br;Dermatologista;2795.29;pendente;15/03/2024
Benício da Cruz;72;80.01;31/10/1944;Sra. Gabrielly Barros;12/10/1929;61 4548 8477;426.179.853-00;Condomínio Carvalho, 21, Novaes - MT;camposdavi@barbosa.org;Arrumadeira;2494.21;pendente;15/08/2024
Diogo Cardoso;2;57.99;23/03/1962;Mariane da Luz;08/04/1945;+55 81 4288-0355;876.415.032-17;Parque Nunes, 713, da Cruz - CE;taragao@gmail.com;Lutador de luta livre;10953.63;pendente;21/10/2024
Julia Rocha;47;82.39;16/12/1944;Sra. Luana da Luz;20/05/1985;+55 (084) 0262-8016;910.743.286-04;Lago de da Cruz, 624, Moura de Fogaça - RS;santosjoao-guilherme@cavalcanti.br;Auxiliar de reprografia;7106.01;inativo;02/05/2023
Gabriela Duarte;22;93.3;18/04/1953;Stephany Jesus;04/04/1949;0900 691 2846;758.941.260-02;Favela Barros, 101, Aragão - MT;inovaes@ig.com.br;Cobrador de ônibus;9078.17;ativo;21/06/2023
Otávio da Conceição;33;81.92;02/01/2003;Maria Eduarda Peixoto;06/07/1967;+55 (051) 6309-4325;894.351.260-06;Condomínio Yasmin Gomes, 491, Martins das Pedras - PE;xrodrigues@bol.com.br;Pesquisador;4249.28;pendente;11/04/2023
Dr. Eduardo Monteiro;70;70.77;31/12/2004;Heloísa Sales;17/04/1966;61 4116 2218;817.543.092-32;Colônia da Mata, 359, Cardoso Paulista - PR;thomasgomes@uol.com.br;Engenheiro de produto ou produção;3703.63;ativo;10/12/2023
Francisco Rezende;30;89.4;24/06/1956;Ana Jesus;23/07/1945;+55 81 0901 7155;261.873.590-03;Via Luna Pereira, 245, da Rosa - SE;sophia58@yahoo.com.br;Argumentista;14848.2;inativo;04/06/2023
Thales Gomes;77;96.82;16/07/1978;Laura Cavalcanti;17/09/1925;(041) 8886-5593;578.143.260-44;Estação de Nunes, 759, Monteiro dos Dourados - PB;piresyasmin@uol.com.br;Cientista social;9786.8;ativo;23/01/2024
Sr. Luiz Fernando Castro;56;51.81;30/01/1975;Emilly Viana;06/11/1938;+55 (081) 0090 7110;751.680.342-17;Favela Giovanna da Conceição, 10, Rodrigues - RS;rochaana-julia@gmail.com;Engenheiro de alimentos;14886.84;pendente;19/07/2023
Valentina Mendes;77;94.2;16/07/1968;Catarina Martins;23/09/1939;21 6007-3850;728.169.504-76;Estrada Emilly da Rosa, 800, Novaes - PI;ccardoso@bol.com.br;Bombeiro;5778.34;ativo;12/11/2024
Leonardo Lopes;21;77.73;21/12/1960;Ana Julia Lima;08/02/1954;+55 (071) 5817-8728;051.926.734-61;Trevo Pedro Henrique Gomes, 514, Nunes - PI;henriquecosta@dias.org;Militar da Aeronáutica;7669.67;ativo;23/07/2023
João Guilherme da Paz;3;97.1;06/08/1985;Brenda Porto;03/06/1951;(081) 4988 2365;285.064.317-35;Ladeira Ramos, 771, Costa - PI;joanafernandes@martins.com;Pecuarista;7332.85;ativo;23/10/2023
Bianca Melo;43;76.07;16/09/1986;Luana Gonçalves;09/09/1952;(031) 5933 5106;164.203.895-42;Viela Vinicius Lima, 561, Novaes - PI;stellada-mata@cunha.org;Engenheiro metalúrgico;12378.97;pendente;18/02/2023
Diogo Carvalho;23;56.5;27/07/1965;Sra. Bianca Sales;21/10/1935;+55 84 5949-1501;302.514.786-53;Praça Melissa Jesus, 510, Souza - SE;igormartins@goncalves.br;Cientista da informação e documentação;9130.03;inativo;15/06/2023
João Felipe Ramos;23;93.05;12/08/1998;Eduarda Rocha;22/09/1984;(031) 5543-3936;460.825.937-74;Jardim de Souza, 90, da Rosa - PE;maite08@uol.com.br;Engenheiro de horticultura;12238.93;pendente;30/05/2023
Luiz Miguel Cunha;58;86.65;24/10/1949;Ana Beatriz Moura;16/08/1984;41 0286 4924;380.475.126-17;Rodovia de Correia, 103, Ribeiro da Prata - MS;da-matamaria-sophia@da.com;Cabo;6067.07;pendente;03/07/2023
Bruna da Cunha;79;94.88;30/09/1963;Luana Peixoto;16/10/1933;0900 687 1673;983.470.125-04;Via de Cardoso, 633, Melo do Galho - MA;diego89@cunha.net;Funileiro;2102.9;pendente;18/08/2023
Brenda Ramos;44;61.42;19/02/1978;Julia Caldeira;30/04/1975;(051) 9329-9152;367.924.058-92;Estação Samuel Porto, 806, da Cunha - AC;breno68@fernandes.com;Barman;10597.25;pendente;25/07/2023
Isis Martins;67;64.34;03/12/1946;Clarice Cavalcanti;04/02/1961;+55 11 0427-9824;608.351.429-06;Trevo Caldeira, 6, Fogaça de Gomes - MT;novaesdiogo@bol.com.br;Subprefeito;14409.75;inativo;04/11/2024
Lucas Gabriel Cavalcanti;32;57.98;22/04/1955;Larissa das Neves;13/12/1968;+55 84 1607 5962;829.307.465-56;Núcleo da Rosa, 45, Rodrigues Grande - MA;agatha34@gmail.com;Angiologista;8394.35;pendente;26/08/2023
Valentina Costa;18;53.8;29/05/1988;Júlia Nunes;13/12/1938;11 7719-7565;683.014.572-44;Fazenda Maria Clara Silveira, 849, Jesus - AL;viniciuspinto@farias.br;Gestor de tecnologia da informação;14409.57;inativo;05/01/2024
Maria Cecília Barros;61;63.8;20/04/1965;Dra. Ana Carvalho;31/08/1938;(084) 3468-3654;570.483.629-10;Colônia João Miguel Rodrigues, 968, Santos - AC;danilonogueira@gmail.com;Fotógrafo;5275.32;ativo;15/09/2024
Sophia Monteiro;13;72.3;25/04/1963;Lavínia das Neves;29/12/1938;51 9788 1344;478.629.530-29;Parque Fernando Duarte, 127, Azevedo do Sul - PB;laislopes@uol.com.br;Cabeleireiro;6868.93;pendente;15/09/2023
Olivia Lopes;44;92.21;15/06/1965;Amanda da Rosa;22/09/1957;(031) 3794 8900;250.734.168-80;Chácara Porto, 71, Barros do Oeste - MA;acavalcanti@vieira.br;Jogador de handebol;6309.11;pendente;28/07/2024
Sra. Caroline Dias;91;87.55;08/04/1969;Bárbara Almeida;05/04/1950;0800-336-7838;851.603.729-03;Recanto Oliveira, 648, Pereira das Pedras - SC;juliafernandes@uol.com.br;Economista doméstico;14080.51;pendente;03/12/2023
Diego Pires;18;91.09;24/04/2002;Sra. Stella Silveira;04/01/1961;+55 11 4369 2299;258.140.967-30;Praça Isaac Viana, 886, Mendes da Serra - DF;lucas-gabriel11@gmail.com;Presidente da República;7627.15;ativo;18/03/2023
Bianca da Costa;54;76.5;18/08/1988;Julia Viana;25/11/1930;+55 11 3184-6276;760.138.245-17;Vila de Nascimento, 28, da Rosa - SP;yferreira@caldeira.net;Profissional de marketing;11622.33;ativo;11/01/2024
Amanda Rodrigues;36;69.32;07/03/1983;Srta. Maria Sophia da Luz;23/04/1949;81 8012-6470;098.643.752-29;Pátio da Rocha, 778, Teixeira do Sul - PB;correiasophia@campos.com;Capitão;4989.23;pendente;29/07/2023
Benício Gonçalves;5;53.24;20/07/1999;Ana Júlia da Rocha;07/07/1956;71 9679-9341;704.536.192-07;Conjunto Jesus, 677, Cardoso da Serra - RR;limabeatriz@nascimento.com;Naturólogo;9951.67;pendente;10/05/2023
Mariana Costela;92;50.99;08/11/1967;Lara da Mata;10/05/1959;21 9222 8673;371.824.695-37;Residencial João Vitor Cunha, 716, Martins das Flores - MS;rochalivia@bol.com.br;Juiz ou árbitro de futebol;4476.95;pendente;12/01/2025
Alícia Farias;62;52.37;29/10/1944;Sra. Lorena Ramos;25/10/1954;+55 (081) 9259-4331;071.362.945-25;Estação Matheus Barbosa, 201, Barbosa - RN;luanaoliveira@rezende.br;Tenista;7078.68;ativo;30/01/2024
Stella Cunha;35;74.48;15/03/1961;Maria Julia Duarte;23/11/1975;+55 61 1898-9828;274.538.601-80;Avenida Cunha, 536, Carvalho Grande - ES;davidias@das.br;Boticário;12638.35;ativo;10/06/2023
Marina das Neves;42;92.82;28/07/1986;Manuela Rezende;18/12/1976;0500-515-2842;402.697.385-92;Setor de da Rosa, 273, Aragão da Serra - RR;joaquimmelo@uol.com.br;Gravurista;9451.49;inativo;05/11/2023
Dra. Elisa Mendes;87;61.22;14/08/2005;Srta. Isabel Freitas;27/08/1966;+55 (011) 5210 6720;631.795.082-21;Viaduto Pinto, 188, Caldeira - SC;larissa48@da.com;Transportador;9190.4;inativo;23/03/2024
Alexandre Cardoso;95;93.35;03/12/1962;Laís da Conceição;13/09/1926;+55 (051) 5159-9066;290.165.748-67;Favela Pedro Lucas Moreira, 513, Cavalcanti - RR;joao-vitorduarte@yahoo.com.br;Produtor fonográfico;5882.69;pendente;22/11/2023
Pedro Moreira;59;76.28;10/03/2001;Sofia Rezende;05/01/1928;61 2638 2822;468.235.907-00;Área João Vitor da Mota, 122, Araújo - SE;danilocardoso@pires.net;Profissional de linguística;6216.18;pendente;18/01/2024
Vinicius Duarte;15;61.78;22/02/1956;Srta. Bruna Campos;08/08/1981;(071) 6194-9595;645.321.908-51;Campo Monteiro, 181, Freitas Verde - MS;mendespietro@farias.net;Professor;11884.32;pendente;16/11/2023
Paulo Cavalcanti;84;51.91;21/07/1957;Julia Novaes;18/12/1975;+55 11 1198-4922;952.036.718-77;Colônia de Azevedo, 741, Duarte de Minas - AP;duarteguilherme@silva.br;Alpinista;2251.65;pendente;04/04/2024
Dr. Nathan da Rosa;17;99.74;21/11/1950;Sra. Ana Luiza Ribeiro;27/12/1969;(084) 5087 3352;715.420.369-25;Condomínio de Fogaça, 326, Cardoso - PI;xnascimento@yahoo.com.br;Pescador;5059.87;pendente;01/11/2024
Dr. Miguel Moura;15;77.47;22/11/1966;Yasmin Gomes;12/12/1962;11 9081 2513;147.326.509-61;Esplanada Barros, 260, Duarte do Sul - SC;xbarros@das.org;Esteticista;3760.72;pendente;21/10/2023
Letícia Costela;71;66.63;12/04/1973;Stephany Fernandes;14/11/1943;+55 (061) 5565-8866;942.367.051-25;Setor Cardoso, 482, Novaes - AP;bruna64@yahoo.com.br;Engenheiro naval;8319.74;ativo;21/05/2023
Maria Sophia Cavalcanti;72;89.18;07/01/1989;Srta. Maria Sophia Souza;22/09/1943;+55 (051) 3204-0773;534.629.817-73;Sítio Sophia da Costa, 338, Silva - SP;rezendemaria-luiza@uol.com.br;Cientista político;10892.53;pendente;04/01/2025
Daniel Rezende;46;92.28;30/03/1958;Camila Mendes;17/04/1953;+55 (061) 2787 4956;485.197.023-41;Via Rodrigues, 999, Azevedo de Silveira - AP;kevin99@gmail.com;Intérprete e tradutor de língua de sinais;9212.82;pendente;13/08/2024
Marina Peixoto;58;52.68;24/09/1967;Luana Castro;26/03/1944;+55 31 2151 7330;290.758.643-29;Fazenda de da Costa, 78, Ferreira de da Mata - AM;rdas-neves@ig.com.br;Apontador de mão-de-obra;11827.6;inativo;06/12/2024
Pedro Henrique Cunha;98;66.68;08/02/1997;Maria Clara Teixeira;19/01/1952;21 2264-2352;304.928.657-10;Rodovia Danilo Freitas, 21, Silveira da Praia - SE;maysa57@bol.com.br;Taifeiro;13958.15;ativo;12/11/2024
Pietro da Paz;71;73.98;19/03/1951;Manuela Rodrigues;06/12/1965;11 6776 7046;481.729.635-64;Residencial de Campos, 281, Ferreira Alegre - BA;nfarias@azevedo.com;Engenheiro de produção agroindustrial;9770.61;ativo;25/10/2023
Diego Porto;79;80.86;18/08/1960;Alexia Ramos;24/11/1949;+55 (081) 4385-8633;702.561.483-17;Estação da Rosa, 146, Novaes - RN;pedro35@ig.com.br;Tabelião;8098.87;inativo;18/12/2024
